first_name,middle_name,last_name,suffix,nickname,birthday,gender,start_date,end_date,party,class,type,state,district,bioguide,thomas,govtrack
Thomas,Stephen,Foley,,,1929-03-06,M,1965-01-04,1994-12-01,Democrat,,rep,WA,5,F000239,00397,404193
Wendell,Hampton,Ford,,,1924-09-08,,1974-01-01,1998-12-19,Democrat,3,sen,KY,,F000268,01334,404219
William,David,Ford,,,1927-08-06,M,1965-01-04,1994-12-01,Democrat,,rep,MI,13,F000270,00401,404220
Dean,Anderson,Gallo,,,1935-11-23,,1985-01-03,1994-12-01,Republican,,rep,NJ,11,G000025,00426,404401
John,Herschel,Glenn,Jr.,,1921-07-18,M,1974-01-01,1998-12-19,Democrat,3,sen,OH,,G000236,01339,404598
Daniel,Robert,Glickman,,,1944-11-24,M,1977-01-04,1994-12-01,Democrat,,rep,KS,4,G000240,00443,404602
Willis,David,Gradison,Jr.,,1928-12-28,,1975-01-14,1993-01-31,Republican,,rep,OH,2,G000349,00451,404705
Frederick,Lawrence,Grandy,,,1948-06-29,M,1987-01-06,1994-12-01,Republican,,rep,IA,5,G000371,00455,404723
Daniel,,Hamburg,,,1948-10-06,M,1993-01-05,1994-12-01,Democrat,,rep,CA,1,H000096,00488,404978
Paul,B.,Henry,,,1942-07-09,M,1985-01-03,1993-07-31,Republican,,rep,MI,3,H000514,00532,405377
Peter,D.,Hoagland,,,1941-11-17,M,1989-01-03,1994-12-01,Democrat,,rep,NE,2,H000652,00544,405507
George,Joseph,Hochbrueckner,,,1938-09-20,M,1987-01-06,1994-12-01,Democrat,,rep,NY,1,H000670,00546,405524
Michael,,Huffington,,,1947-09-03,M,1993-01-05,1994-12-01,Republican,,rep,CA,22,H000912,00571,405758
William,John,Hughes,,,1932-10-17,M,1975-01-14,1994-12-01,Democrat,,rep,NJ,2,H000930,00572,405775
Earl,Dewitt,Hutto,,,1926-05-12,M,1979-01-15,1994-12-01,Democrat,,rep,FL,1,H001018,00579,405855
Clete,Donald,Johnson,Jr.,Don,1948-01-30,,1993-01-05,1994-12-01,Democrat,,rep,GA,10,J000120,00598,406024
Dirk,,Kempthorne,,,1951-10-29,,1993-01-05,1998-12-19,Republican,3,sen,ID,,K000088,01376,406256
Herbert,C.,Klein,,,1930-06-24,M,1993-01-05,1994-12-01,Democrat,,rep,NJ,8,K000262,00638,406420
Michael,J.,Kopetski,,,1949-10-27,M,1991-01-03,1994-12-01,Democrat,,rep,OR,5,K000312,00648,406466
Myron,Bradford,Kreidler,,Mike,1943-09-28,,1993-01-05,1994-12-01,Democrat,,rep,WA,9,K000328,00652,406482
Robert,Charles,Krueger,,,1935-09-19,M,1975-01-14,1993-12-31,Democrat,1,sen,TX,,K000333,00653,406487
Larry,,LaRocco,,,1946-08-25,,1991-01-03,1994-12-01,Democrat,,rep,ID,1,L000098,00665,406605
H.,Martin,Lancaster,,,1943-03-24,,1987-01-06,1994-12-01,Democrat,,rep,NC,3,L000045,00660,406554
Richard,Henry,Lehman,,,1948-07-20,M,1983-01-03,1994-12-01,Democrat,,rep,CA,19,L000225,00679,406729
David,A.,Levy,,,1953-12-18,M,1993-01-05,1994-12-01,Republican,,rep,NY,4,L000267,00686,406768
Thomas,F.,Lewis,,,1924-10-26,M,1983-01-03,1994-12-01,Republican,,rep,FL,16,L000295,00690,406790
Marilyn,Laird,Lloyd,,,1929-01-03,F,1975-01-14,1994-12-01,Democrat,,rep,TN,3,L000381,00698,406873
Jill,Lynette,Long Thompson,,,1952-07-15,,1989-01-03,1994-12-01,Democrat,,rep,IN,4,L000420,00705,406920
Ronald,K.,Machtley,,,1948-07-13,,1989-01-03,1994-12-01,Republican,,rep,RI,1,M000015,00720,407044
David,Scott,Mann,,,1939-09-25,M,1993-01-05,1994-12-01,Democrat,,rep,OH,1,M000100,00730,407124
Marjorie,,Margolies-Mezvinsky,,,1942-06-21,,1993-01-05,1994-12-01,Democrat,,rep,PA,13,M000129,00797,407153
Harlan,,Mathews,,,1927-01-17,,1993-01-05,1994-12-01,Democrat,2,sen,TN,,M000236,01390,407254
Romano,Louis,Mazzoli,,,1932-11-02,,1971-01-21,1994-12-01,Democrat,,rep,KY,3,M000291,00753,407306
Alfred,A.,McCandless,,,1927-07-23,M,1983-01-03,1994-12-01,Republican,,rep,CA,44,M000306,00755,407320
Francis,Xavier,McCloskey,,,1939-06-12,,1983-01-03,1994-12-01,Democrat,,rep,IN,8,M000342,00758,407351
David,Keith,McCurdy,,,1950-03-30,M,1981-01-05,1994-12-01,Democrat,,rep,OK,4,M000398,00764,407399
John,"Alexander, III",McMillan,,Alex,1932-05-09,M,1985-01-03,1994-12-01,Republican,,rep,NC,9,M000566,00782,407558
Robert,Henry,Michel,,,1923-03-02,M,1957-01-03,1994-12-01,Republican,,rep,IL,18,M000692,00801,407676
Carol,,Moseley Braun,,,1947-08-16,,1993-01-05,1998-12-19,Democrat,3,sen,IL,,M001025,01405,407992
Austin,John,Murphy,,,1927-06-17,,1977-01-04,1994-12-01,Democrat,,rep,PA,20,M001088,00841,408052
William,Huston,Natcher,,,1909-09-11,M,1953-01-03,1994-03-29,Democrat,,rep,KY,2,N000009,00853,408103
Stephen,Lybrook,Neal,,,1934-11-07,M,1975-01-14,1994-12-01,Democrat,,rep,NC,5,N000016,00855,408109
Robert,William,Packwood,,,1932-09-11,M,1969-01-03,1995-12-31,Republican,3,sen,OR,,P000009,01414,408420
Leon,Edward,Panetta,,,1938-06-28,,1977-01-04,1993-01-21,Democrat,,rep,CA,17,P000047,00888,408457
Timothy,Joseph,Penny,,,1951-11-19,M,1983-01-03,1994-12-01,Democrat,,rep,MN,1,P000215,00906,408618
James,Jarrell,Pickle,,Jake,1913-10-11,M,1963-01-09,1994-12-01,Democrat,,rep,TX,10,P000328,00917,408725
Arthur,,Ravenel,Jr.,,1927-03-29,M,1987-01-06,1994-12-01,Republican,,rep,SC,1,R000072,00947,409052
Thomas,Joseph,Ridge,,,1945-08-26,M,1983-01-03,1994-12-01,Republican,,rep,PA,21,R000243,00960,409219
Daniel,David,Rostenkowski,,,1928-01-02,M,1959-01-07,1994-12-01,Democrat,,rep,IL,5,R000458,00988,409422
James,Roy,Rowland,Jr.,,1926-02-03,M,1983-01-03,1994-12-01,Democrat,,rep,GA,8,R000481,00993,409442
George,Edward,Sangmeister,,,1931-02-16,M,1989-01-03,1994-12-01,Democrat,,rep,IL,11,S000056,01013,409570
William,,Sarpalius,,,1948-01-10,M,1989-01-03,1994-12-01,Democrat,,rep,TX,13,S000066,01018,409578
Lynn,,Schenk,,,1945-01-05,,1993-01-05,1994-12-01,Democrat,,rep,CA,49,S000119,01027,409627
Philip,Riley,Sharp,,,1942-07-15,M,1975-01-14,1994-12-01,Democrat,,rep,IN,2,S000294,01046,409793
Karen,,Shepherd,,,1940-07-05,,1993-01-05,1994-12-01,Democrat,,rep,UT,2,S000332,01050,409829
James,Charles,Slattery,,,1948-08-04,M,1983-01-03,1994-12-01,Democrat,,rep,KS,2,S000477,01067,409966
Neal,Edward,Smith,,,1920-03-23,,1959-01-07,1994-12-01,Democrat,,rep,IA,4,S000596,01079,410076
Donald,Kenneth,Sundquist,,,1936-03-15,M,1983-01-03,1994-12-01,Republican,,rep,TN,7,S001075,01125,410529
Richard,,Swett,,,1957-05-01,M,1991-01-03,1994-12-01,Democrat,,rep,NH,2,S001113,01128,410565
Allan,Byron,Swift,,,1935-09-12,,1979-01-15,1994-12-01,Democrat,,rep,WA,2,S001115,01129,410567
Michael,Lynn,Synar,,,1950-10-17,M,1979-01-15,1994-12-01,Democrat,,rep,OK,2,S001139,01133,410589
Jolene,,Unsoeld,,,1931-12-03,,1989-01-03,1994-12-01,Democrat,,rep,WA,3,U000017,01176,411040
Itimous,"Thaddeus, Jr.,",Valentine,,Tim,1926-03-15,,1983-01-03,1994-12-01,Democrat,,rep,NC,2,V000006,01178,411065
Craig,Anthony,Washington,,,1941-10-12,,1989-01-03,1994-12-01,Democrat,,rep,TX,18,W000177,01203,411350
Alan,Dupree,Wheat,,,1951-10-16,,1983-01-03,1994-12-01,Democrat,,rep,MO,5,W000326,01218,411488
Jamie,Lloyd,Whitten,,,1910-04-18,,1941-01-03,1994-12-01,Democrat,,rep,MS,1,W000428,01225,411587
Ron,,de Lugo,,,1930-08-02,,1973-01-03,1994-12-01,Democrat,,rep,VI,0,D000209,00275,403314
Spencer,,Abraham,,,1952-06-12,,1995-01-04,2000-12-15,Republican,1,sen,MI,,A000355,01269,400555
John,,Ashcroft,,,1942-05-09,M,1995-01-04,2000-12-15,Republican,1,sen,MO,,A000356,01274,400556
William,P.,Baker,,,1940-06-14,M,1993-01-05,1996-10-04,Republican,,rep,CA,10,B000078,00045,401081
Anthony,Charles,Beilenson,,,1932-10-26,M,1977-01-04,1996-10-04,Democrat,,rep,CA,24,B000318,00072,401310
Tom,,Bevill,,,1921-03-27,,1967-01-10,1996-10-04,Democrat,,rep,AL,4,B000431,00084,401417
Peter,I.,Blute,,,1956-01-28,M,1993-01-05,1996-10-04,Republican,,rep,MA,3,B000576,00100,401547
William,K.,Brewster,,,1941-11-08,M,1991-01-03,1996-10-04,Democrat,,rep,OK,3,B000817,00123,401774
John,Glen,Browder,,,1943-01-15,M,1989-01-03,1996-10-04,Democrat,,rep,AL,3,B000897,00130,401854
Richard,H.,Bryan,,,1937-07-16,M,1989-01-03,2000-12-15,Democrat,1,sen,NV,,B000993,01293,400557
John,Wiley,Bryant,,,1947-02-22,M,1983-01-03,1996-10-04,Democrat,,rep,TX,5,B000997,00142,401947
Jim,,Bunn,,,1956-12-12,,1995-01-04,1996-10-04,Republican,,rep,OR,5,B001063,00145,402010
John,Hubbard,Chafee,,,1922-10-22,M,1976-01-01,1999-12-31,Republican,1,sen,RI,,C000269,01303,402412
Jim,,Chapman,,,1945-03-08,,1985-01-03,1996-10-04,Democrat,,rep,TX,1,C000312,00190,402454
Dick,,Chrysler,,,1942-04-29,,1995-01-04,1996-10-04,Republican,,rep,MI,8,C000385,00197,402524
William,Floyd,Clinger,Jr.,,1929-04-04,M,1979-01-15,1996-10-04,Republican,,rep,PA,5,C000523,00207,402657
Ronald,D'Emory,Coleman,,,1941-11-29,,1983-01-03,1996-10-04,Democrat,,rep,TX,16,C000621,00217,402750
Barbara-Rose,,Collins,,,1939-04-13,,1991-01-03,1996-10-04,Democrat,,rep,MI,15,C000633,00219,402762
Cardiss,,Collins,,,1931-09-24,,1973-01-03,1996-10-04,Democrat,,rep,IL,7,C000634,00220,402763
Wes,,Cooley,,,1932-03-28,,1995-01-04,1996-10-04,Republican,,rep,OR,2,C000737,00230,402858
Frank,,Cremeans,,,1943-04-05,M,1995-01-04,1996-10-04,Republican,,rep,OH,6,C000903,00251,403015
Robert,Kenneth,Dornan,,,1933-04-03,M,1977-01-04,1996-10-04,Republican,,rep,CA,46,D000435,00310,403545
Norvell,William,Emerson,,Bill,1938-01-01,,1981-01-05,1996-06-22,Republican,,rep,MO,8,E000174,00342,403864
Cleo,,Fields,,,1962-11-22,,1993-01-05,1996-10-04,Democrat,,rep,LA,4,F000110,00379,404067
Jack,Milton,Fields,Jr.,,1952-02-03,,1981-01-05,1996-10-04,Republican,,rep,TX,8,F000111,00380,404068
Michael,P.,Flanagan,,,1962-11-09,M,1995-01-04,1996-10-04,Republican,,rep,IL,5,F000187,00389,404142
Harold,Eugene,Ford,,,1945-05-20,M,1975-01-14,1996-10-04,Democrat,,rep,TN,9,F000261,00400,404213
Gary,A.,Franks,,,1953-02-09,,1991-01-03,1996-10-04,Republican,,rep,CT,5,F000348,00410,404296
Victor,O.,Frazer,,,1943-05-24,M,1995-01-04,1996-10-04,Independent,,rep,VI,0,F000351,00412,404298
Dan,,Frisa,,,1955-04-27,,1995-01-04,1996-10-04,Republican,,rep,NY,4,F000387,00417,404332
David,,Funderburk,,,1944-04-28,M,1995-01-04,1996-10-04,Republican,,rep,NC,2,F000426,00421,404367
Preston,M.,Geren,,Pete,1952-01-29,,1989-01-03,1996-10-04,Democrat,,rep,TX,12,G000134,00434,404503
Sam,Melville,Gibbons,,,1920-01-20,,1963-01-09,1996-10-04,Democrat,,rep,FL,11,G000153,00437,404520
T.,Slade,Gorton,,,1928-01-08,,1981-01-05,2000-12-15,Republican,1,sen,WA,,G000333,01341,400559
Rod,,Grams,,,1948-02-04,M,1993-01-05,2000-12-15,Republican,1,sen,MN,,G000367,00454,400560
Steven,Craig,Gunderson,,,1951-05-10,,1981-01-05,1996-10-04,Republican,,rep,WI,3,G000524,00476,404869
Melton,D.,Hancock,,Mel,1929-09-14,,1989-01-03,1996-10-04,Republican,,rep,MO,7,H000151,00492,405033
James,Allison,Hayes,,,1946-12-21,M,1987-01-06,1996-10-04,Democrat,,rep,LA,7,H000390,00517,405258
Fred,,Heineman,,,1929-12-28,M,1995-01-04,1996-10-04,Republican,,rep,NC,4,H000452,00527,405317
Martin,R.,Hoke,,,1952-05-18,M,1993-01-05,1996-10-04,Republican,,rep,OH,10,H000707,00549,405560
Andrew,,Jacobs,Jr.,,1932-02-24,M,1965-01-04,1996-10-04,Democrat,,rep,IN,10,J000033,00589,405939
Harry,A.,Johnston,II,,1931-12-02,M,1989-01-03,1996-10-04,Democrat,,rep,FL,19,J000187,00606,406082
J.,Robert,Kerrey,,,1943-08-27,,1989-01-03,2000-12-15,Democrat,1,sen,NE,,K000146,01378,400561
Gregory,H.,Laughlin,,,1942-01-21,,1989-01-03,1996-10-04,Democrat,,rep,TX,14,L000119,00669,406625
James,Ross,Lightfoot,,,1938-09-27,M,1985-01-03,1996-10-04,Republican,,rep,IA,3,L000305,00691,406799
James,,Longley,,,1951-07-07,M,1995-01-04,1996-10-04,Republican,,rep,ME,1,L000431,00706,406922
Connie,,Mack,III,,1940-10-29,M,1983-01-03,2000-12-15,Republican,1,sen,FL,,M000019,00721,400562
William,J.,Martini,,,1947-02-10,M,1995-01-04,1996-10-04,Republican,,rep,NJ,8,M000207,00744,407226
Jan,,Meyers,,,1928-07-20,,1985-01-03,1996-10-04,Republican,,rep,KS,3,M000684,00794,407669
Kweisi,,Mfume,,,1948-10-24,,1987-01-06,1996-02-18,Democrat,,rep,MD,7,M000687,00798,407672
Norman,Yoshio,Mineta,,,1931-11-12,,1975-01-14,1995-10-10,Democrat,,rep,CA,15,M000794,00812,407772
Gillespie,V.,Montgomery,,Sonny,1920-08-05,,1967-01-10,1996-10-04,Democrat,,rep,MS,3,M000865,00827,407838
Carlos,John,Moorhead,,,1922-05-06,,1973-01-03,1996-10-04,Republican,,rep,CA,27,M000926,00830,407899
Daniel,Patrick,Moynihan,,,1927-03-16,M,1977-01-04,2000-12-15,Democrat,1,sen,NY,,M001054,01407,400563
John,Thomas,Myers,,,1927-02-08,M,1967-01-10,1996-10-04,Republican,,rep,IN,7,M001130,00847,408092
William,,Orton,,,1948-09-22,M,1991-01-03,1996-10-04,Democrat,,rep,UT,3,O000108,00881,408364
Lewis,Franklin,Payne,Jr.,,1945-07-09,M,1987-01-06,1996-10-04,Democrat,,rep,VA,5,P000152,00903,408556
Douglas,Brian,Peterson,,Pete,1935-06-26,,1991-01-03,1996-10-04,Democrat,,rep,FL,2,P000259,00911,408661
James,Henry,Quillen,,,1916-01-11,M,1963-01-09,1996-10-04,Republican,,rep,TN,1,Q000013,00937,408976
Mel,,Reynolds,,,1952-01-08,,1993-01-05,1995-10-01,Democrat,,rep,IL,2,R000178,00955,409154
Charles,S.,Robb,,,1939-06-26,M,1989-01-03,2000-12-15,Democrat,1,sen,VA,,R000295,01423,400564
Charles,Grandison,Rose,III,,1939-08-10,M,1973-01-03,1996-10-04,Democrat,,rep,NC,7,R000436,00986,409400
Toby,A.,Roth,,,1938-10-10,,1979-01-15,1996-10-04,Republican,,rep,WI,8,R000459,00989,409423
William,V.,Roth,Jr.,,1921-07-22,M,1967-01-10,2000-12-15,Republican,1,sen,DE,,R000460,01425,400565
Patricia,Scott,Schroeder,,,1940-07-30,,1973-01-03,1996-10-04,Democrat,,rep,CO,1,S000142,01033,409650
Andrea,,Seastrand,,,1941-08-05,,1995-01-04,1996-10-04,Republican,,rep,CA,22,S000213,01038,409718
Gerry,Eastman,Studds,,,1937-05-12,,1973-01-03,1996-10-04,Democrat,,rep,MA,10,S001040,01121,410496
Randy,J.,Tate,,,1965-11-23,,1995-01-04,1996-10-04,Republican,,rep,WA,9,T000048,01138,410636
Raymond,Hoyt,Thornton,Jr.,Ray,1928-07-16,M,1973-01-03,1996-10-04,Democrat,,rep,AR,2,T000243,01156,410821
Peter,Gerard,Torkildsen,,,1958-01-28,M,1993-01-05,1996-10-04,Republican,,rep,MA,6,T000314,01161,410887
Walter,R.,Tucker,III,,1957-05-28,M,1993-01-05,1995-12-15,Democrat,,rep,CA,37,T000405,01172,410974
Harold,Lee,Volkmer,,,1931-04-04,M,1977-01-04,1996-10-04,Democrat,,rep,MO,9,V000112,01189,411166
Barbara,Farrell,Vucanovich,,,1921-06-22,,1983-01-03,1996-10-04,Republican,,rep,NV,2,V000124,01190,411178
Enid,,Greene Waldholtz,,,1958-06-05,F,1995-01-04,1996-10-04,Republican,,rep,UT,2,G000408,01192,411214
Robert,Smith,Walker,,,1942-12-23,M,1977-01-04,1996-10-04,Republican,,rep,PA,16,W000068,01196,411247
Michael,Delavan,Ward,,,1951-01-07,M,1995-01-04,1996-10-04,Democrat,,rep,KY,3,W000139,01201,411314
John,Patrick,Williams,,,1937-10-30,M,1979-01-15,1996-10-04,Democrat,,rep,MT,1,W000520,01231,411677
Charles,,Wilson,,,1933-06-01,M,1973-01-03,1996-10-04,Democrat,,rep,TX,2,W000570,01232,411725
William,H.,Zeliff,Jr.,,1936-06-12,M,1991-01-03,1996-10-04,Republican,,rep,NH,1,Z000004,01263,411997
Richard,,Zimmer,,,1944-08-16,M,1991-01-03,1996-10-04,Republican,,rep,NJ,12,Z000008,01264,412001
Eligio,II,de la Garza,,Kika,1927-09-22,,1965-01-04,1996-10-04,Democrat,,rep,TX,15,D000203,00276,403308
Sheila,,Frahm,,,1945-03-22,,1996-01-01,1996-10-04,Republican,3,sen,KS,,F000438,01335,404281
Henry,Scott,Baesler,,Scotty,1941-07-09,M,1993-01-05,1998-12-19,Democrat,,rep,KY,6,B000028,00041,401033
Sonny,,Bono,,,1935-02-16,,1995-01-04,1998-01-05,Republican,,rep,CA,44,B000622,00110,401587
Walter,Holden,Capps,,,1934-05-05,M,1997-01-07,1997-10-28,Democrat,,rep,CA,22,C000134,01472,402284
Jon,Lynn,Christensen,,,1963-02-20,,1995-01-04,1998-12-19,Republican,,rep,NE,2,C000377,00196,402516
J.,Maxwell,Cleland,,,1942-08-24,,1997-01-07,2002-11-22,Democrat,2,sen,GA,,C001034,01540,300152
Ronald,Vernie,Dellums,,,1935-11-24,,1971-01-21,1998-02-07,Democrat,,rep,CA,9,D000222,00284,403364
Harris,W.,Fawell,,,1929-03-25,,1985-01-03,1998-12-19,Republican,,rep,IL,13,F000049,00373,404009
Victor,Herbert,Fazio,Jr.,,1942-10-11,M,1979-01-15,1998-12-19,Democrat,,rep,CA,3,F000053,00374,404013
Floyd,Harold,Flake,,,1945-01-30,,1987-01-06,1997-11-17,Democrat,,rep,NY,6,F000184,00388,404139
Thomas,Michael,Foglietta,,,1928-12-03,M,1981-01-05,1997-11-11,Democrat,,rep,PA,1,F000235,00395,404190
Jon,D.,Fox,,,1947-04-22,,1995-01-04,1998-12-19,Republican,,rep,PA,13,F000332,00406,404280
Elizabeth,,Furse,,,1936-10-13,,1993-01-05,1998-12-19,Democrat,,rep,OR,1,F000434,00423,404375
Newton,Leroy,Gingrich,,,1943-06-17,,1979-01-15,1998-12-19,Republican,,rep,GA,6,G000225,00441,404587
Henry,Barbosa,González,,,1916-05-03,M,1961-01-03,1998-12-19,Democrat,,rep,TX,20,G000272,00445,404634
Phil,,Gramm,,,1942-07-08,M,1979-01-15,2002-11-22,Republican,2,sen,TX,,G000365,00453,300159
Lee,Herbert,Hamilton,,,1931-04-20,,1965-01-04,1998-12-19,Democrat,,rep,IN,9,H000114,00489,404996
Willie,Gathrel,Hefner,,Bill,1930-04-11,,1975-01-14,1998-12-19,Democrat,,rep,NC,8,H000448,00525,405313
Jesse,,Helms,,,1921-10-18,,1973-01-03,2002-11-22,Republican,2,sen,NC,,H000463,01359,300154
Tim,,Hutchinson,,,1949-08-11,M,1993-01-05,2002-11-22,Republican,2,sen,AR,,H001015,00578,300151
Jay,W.,Johnson,,,1943-09-30,,1997-01-07,1998-12-19,Democrat,,rep,WI,8,J000149,01496,406047
Joseph,Patrick,Kennedy,II,,1952-09-24,M,1987-01-06,1998-12-19,Democrat,,rep,MA,8,K000110,00626,406277
Barbara,Bailey,Kennelly,,,1936-07-10,,1981-01-05,1998-12-19,Democrat,,rep,CT,1,K000118,00628,406284
Jay,,Kim,,,1939-03-27,,1993-01-05,1998-12-19,Republican,,rep,CA,41,K000181,00632,406343
Scott,L.,Klug,,,1953-01-16,,1991-01-03,1998-12-19,Republican,,rep,WI,2,K000274,00641,406431
Thomas,J.,Manton,,,1932-11-03,M,1985-01-03,1998-12-19,Democrat,,rep,NY,7,M000117,00732,407141
Joseph,Michael,McDade,,,1931-09-29,M,1963-01-09,1998-12-19,Republican,,rep,PA,10,M000399,00765,407400
Paul,F.,McHale,Jr.,,1950-07-26,M,1993-01-05,1998-12-19,Democrat,,rep,PA,15,M000466,00772,407465
Susan,,Molinari,,,1958-03-27,,1989-01-03,1997-08-02,Republican,,rep,NY,13,M000843,00823,407817
Mark,W.,Neumann,,,1954-02-27,M,1995-01-04,1998-12-19,Republican,,rep,WI,1,N000054,00861,408142
Michael,James,Pappas,,,1960-12-29,M,1997-01-07,1998-12-19,Republican,,rep,NJ,12,P000049,01509,408459
Michael,,Parker,,Mike,1949-10-31,M,1989-01-03,1998-12-19,Republican,,rep,MS,4,P000066,00889,408476
L.,William,Paxon,,,1954-04-29,,1989-01-03,1998-12-19,Republican,,rep,NY,27,P000148,00901,408553
Glenn,,Poshard,,,1945-10-30,,1989-01-03,1998-12-19,Democrat,,rep,IL,19,P000452,00925,408839
William,Thomas,Redmond,,,1955-01-28,M,1997-01-07,1998-12-19,Republican,,rep,NM,3,R000567,01515,409087
William,Blaine,Richardson,,,1947-11-15,M,1983-01-03,1997-02-13,Democrat,,rep,NM,3,R000229,00958,409205
Frank,D.,Riggs,,,1950-09-05,M,1991-01-03,1998-12-19,Republican,,rep,CA,1,R000252,00962,409228
Carlos,,Romero-Barceló,,,1932-09-04,M,1993-01-05,2000-12-15,Democrat,,rep,PR,0,R000417,00980,400615
Daniel,,Schaefer,,,1936-01-25,M,1983-01-03,1998-12-19,Republican,,rep,CO,6,S000109,01026,409618
Steven,Harvey,Schiff,,,1947-03-18,,1989-01-03,1998-03-25,Republican,,rep,NM,1,S000125,01030,409633
David,Evans,Skaggs,,,1943-02-22,M,1987-01-06,1998-12-19,Democrat,,rep,CO,2,S000462,01062,409954
Bob,,Smith,,,1941-03-30,M,1985-01-03,2002-11-22,Republican,2,sen,NH,,S000606,01082,300155
Linda,,Smith,,,1950-07-16,,1995-01-04,1998-12-19,Republican,,rep,WA,3,S000587,01078,410067
Robert,Freeman,Smith,,,1931-06-16,M,1983-01-03,1998-12-19,Republican,,rep,OR,2,S000607,01083,410084
Vincent,K.,Snowbarger,,,1949-09-16,,1997-01-07,1998-12-19,Republican,,rep,KS,3,S000662,01529,410136
Gerald,Brooks Hunt,Solomon,,,1930-08-14,,1979-01-15,1998-12-19,Republican,,rep,NY,22,S000675,01088,410147
Louis,,Stokes,,,1925-02-23,M,1969-01-03,1998-12-19,Democrat,,rep,OH,11,S000948,01115,410407
Frank,Mariano,Tejeda,,,1945-10-02,M,1993-01-05,1997-01-30,Democrat,,rep,TX,28,T000113,01147,410695
Fred,,Thompson,,,1942-08-19,M,1994-01-01,2002-11-22,Republican,2,sen,TN,,T000457,01447,300158
J.,Strom,Thurmond,,,1902-12-05,M,1955-01-05,2002-11-22,Republican,2,sen,SC,,T000254,01448,300157
Esteban,Edward,Torres,,,1930-01-27,,1983-01-03,1998-12-19,Democrat,,rep,CA,34,T000316,01162,410889
Robert,,Torricelli,,,1951-08-27,M,1983-01-03,2002-11-22,Democrat,2,sen,NJ,,T000317,01163,300156
Paul,David,Wellstone,,,1944-07-21,M,1991-01-03,2002-10-25,Democrat,2,sen,MN,,W000288,01454,400566
Richard,Alan,White,,Rick,1953-11-06,M,1995-01-04,1998-12-19,Republican,,rep,WA,1,W000391,01220,411550
Sidney,Richard,Yates,,,1909-08-27,,1949-01-03,1998-12-19,Democrat,,rep,IL,9,Y000013,01252,411947
Bill,,Archer,,,1928-03-22,M,1971-01-21,2000-12-15,Republican,,rep,TX,7,A000215,00026,400567
Bill,,Barrett,,,1929-02-09,M,1991-01-03,2000-12-15,Republican,,rep,NE,3,B000179,00057,400568
Herbert,H.,Bateman,,,1928-08-07,M,1983-01-03,2000-12-15,Republican,,rep,VA,1,B000229,00064,400569
Tom,,Bliley,,,1932-01-28,M,1981-01-05,2000-12-15,Republican,,rep,VA,7,B000556,00097,400571
John,B.,Breaux,,,1944-03-01,M,1971-01-21,2004-12-09,Democrat,3,sen,LA,,B000780,00120,300012
George,E.,Brown,Jr.,,1920-03-06,M,1963-01-09,2000-12-15,Democrat,,rep,CA,42,B000918,00134,400572
Ben,Nighthorse,Campbell,,,1933-04-13,M,1987-01-06,2004-12-09,Republican,3,sen,CO,,C000077,00168,300017
Tom,,Campbell,,,1952-08-14,M,1989-01-03,2000-12-15,Republican,,rep,CA,15,C000100,00170,400573
Charles,T.,Canady,,,1954-06-22,M,1993-01-05,2000-12-15,Republican,,rep,FL,12,C000107,00171,400574
Helen,,Chenoweth-Hage,,,1938-01-27,F,1995-01-04,2000-12-15,Republican,,rep,ID,1,C000345,00194,400575
William,Lacy,Clay,Sr.,Bill,1931-04-30,M,1969-01-03,2000-12-15,Democrat,,rep,MO,1,C000488,00203,402626
Merrill,,Cook,,,1946-05-06,,1997-01-07,2000-12-15,Republican,,rep,UT,2,C000722,01475,400577
Paul,D.,Coverdell,,,1939-01-20,M,1993-01-05,2000-12-15,Republican,3,sen,GA,,C000813,01310,400558
Pat,,Danner,,,1934-01-13,,1993-01-05,2000-12-15,Democrat,,rep,MO,6,D000046,00265,400578
Thomas,A.,Daschle,,Tom,1947-12-09,M,1979-01-15,2004-12-09,Democrat,3,sen,SD,,D000064,00267,300031
Jay,,Dickey,,,1939-12-14,M,1993-01-05,2000-12-15,Republican,,rep,AR,4,D000312,00295,400579
Julian,C.,Dixon,,,1934-08-08,M,1979-01-15,2000-12-15,Democrat,,rep,CA,32,D000373,00301,400580
John,Reid,Edwards,,,1953-06-10,M,1999-01-06,2004-12-09,Democrat,3,sen,NC,,E000286,01573,300039
Thomas,W.,Ewing,,,1935-09-19,M,1991-01-03,2000-12-15,Republican,,rep,IL,15,E000282,00366,400581
Peter,G.,Fitzgerald,,,1960-10-20,M,1999-01-06,2004-12-09,Republican,3,sen,IL,,F000442,01571,300044
Michael,P.,Forbes,,,1952-07-16,M,1995-01-04,2000-12-15,Democrat,,rep,NY,1,F000257,00398,400582
Tillie,K.,Fowler,,,1942-12-23,,1993-01-05,2000-12-15,Republican,,rep,FL,4,F000328,00404,400583
Bob,,Franks,,,1951-09-21,M,1993-01-05,2000-12-15,Republican,,rep,NJ,7,F000349,00409,400584
Sam,,Gejdenson,,,1948-05-20,,1981-01-05,2000-12-15,Democrat,,rep,CT,2,G000120,00431,400585
William,F.,Goodling,,,1927-12-05,M,1975-01-14,2000-12-15,Republican,,rep,PA,19,G000291,00447,400586
Bob,,Graham,,,1936-11-09,M,1987-01-06,2004-12-09,Democrat,3,sen,FL,,G000352,01342,300046
