Incident No.,Reported Date,Reported Time,Category,Building/ Site Name,Incident Summary,Incident Status
1-2013-001985,07/10/2013,1:00 PM,Larceny,Kimmel Center for University Life,"On time and date of report, a student states that between 12noon and 12:55pm on date of report, a violin valued at $5,000 was taken from a room on the 6th floor. Another NYU student was identified as using the room during this time period. NYPD notified and a police report was filed. Subsequently, the property was returned to owner.",Closed/Property Recovered
1-2013-001986,07/10/2013,6:25 PM,Larceny,Coles Sports Center,"On time and date of report, a student states that between 5pm and 6pm on date of report, an NYU bicycle whcih is part of the share program was taken from the rack outside the building. Declined police notification.",Open/Under Investigation
1-2013-001992,07/10/2013,10:00 PM,Larceny,On Campus,"On time and date of report, a non NYU affiliated individual states that between 7:15pm and time/date of report, his bicycle valued at $1,000 was taken from a parking sign located on Washington Square South infront of Kimmel Center. NYPD notfied.",Closed/No Further Action
1-2013-002000,07/11/2013,7:00 PM,Larceny,Bobst Library,"On time and date of report, a visitor states that between 6:45pm and 6:55pm on date of report, his Mac laptop computer valued at $2,000 was taken from an area on the 6th floor while the property was left unattended. Declined police notification at this time.",Open/Under Investigation
1-2013-002007,07/12/2013,1:10 PM,Larceny,665 Broadway,"On time and date of report, a staff member states that between 1pm and 1:30pm on July 11th, a PC tablet of undetermined value was taken from a bag in his unsecured office. No other property was reported missing. Declined police notification.",Open/Under Investigation
1-2013-002009,07/12/2013,3:00 PM,Harassment,14 Washington Place/NYU Computer Bookstore,"On tiem and date of report, a student worker states that at 1:30pm on date of report, an individual she previously complained about from an off campus incident stopped by the window of the store and acknowledged her while she was working. NYPD notified and a police report was filed.",Closed/Referred to NYPD
1-2013-002010,07/12/2013,3:25 PM,Larceny,Pless Hall,"On time and date of report, a staff member states that between 2:20pm and 3pm on date of report, a laptop computer valued at $2,000 was taken from her unlocked office. NYPd notified and a police report was filed.",Open/Under Investigation
1-2013-002012,07/13/2013,3:00 PM,Public Lewdness,Starbucks on the Square,"On time and date of report, two students state that an unidentified middle aged white male exposed himself while they were sitting in the location. The individual then followed the students to Washington Square Park. The students then walked to Bobst Library and reported the incident to the Public Safety officer in the lobby. Public Safety responded to the last known location and the individual was gone upon their arrival. NYPD was immediately notified.",Closed/No Identifiable Suspect
1-2013-002013,07/13/2013,6:30 PM,Larceny,721 Broadway/Waverly Bicycle Rack,"On time and date of report, a student states that between 5pm and 6pm on July 12th, the seat to her bicycle was taken while it was secured at the rack. Declined police notification.",Open/Under Investigation
1-2013-002026,07/15/2013,12:30 PM,Larceny,15 Washington Place,"On time and date of report, a resident of the building states that on two occassions since May 31st of this year, packages delivered to the building by UPS intended for her disappeared after unidentified persons signed for them. The value of each package was $60-70. Declined police notification.",Closed/No Further Action
1-2013-002029,07/15/2013,4:45 PM,Larceny,14 Washington Place/NYU Computer Bookstore,"On time and date of report, an unidentified male took three items from the shelves and removed the loss prevention tags. As he was leaving the store, he was approached by Public Safety personnel. Individual tossed one item and ran from the store with the other two. Items taken were a set of headphones and a set of small speakers with a total value of $204.00",Open/Under Investigation
1-2013-002039,07/16/2013,7:59 PM,Larceny,Washington Square Park,"On time and date of report, a student states that at approximately 3:05pm on date of report, while sitting in the park, two unidentified individuals approached her. While one distracted her, the other took her I-phone valued at $350 from her handbag. NYPD notified and a polcie report was filed.",Closed/Referred to NYPD
1-2013-002040,07/16/2013,9:30 PM,Larceny,Coles Sports Center,"On time and date of report, a student states that between 6:20pm and time/date of report, his wallet containing cash and gift cards was taken from his bag while left in the bleechers unattended. Declined police notificatrion.",Open/Under Investigation
1-2013-002044,07/17/2013,8:30 AM,Larceny,2 Wqashington Square Village,"On time and date of report, a CBS employee states that a personal delivery made for him on July 14th went missing. It was determined that a person known to this department had taken the property without authorization.",Closed/Referred to Appropriate Department
1-2013-002049,07/17/2013,6:25 PM,Larceny,Bobst Library,"On time and date of report, a staff member states that between 11:30am July 9th and 10am July 15th, his Mac laptop computer valued at $1,215 was taken from an office on the 12th floor. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002054,07/18/2013,12:35 PM,Larceny,Vanderbilt Hall,"On time and date of report, an employee states that between 11:20pm and 12:20pm, his bicycle valued at $1,200 was taken from the courtyard bike rack. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002063,07/19/2013,9:00 AM,Criminal Mischief,19 University Place,"On time and date of report, Public Safety observed non bias graffiti on the exterior of the location. It is unknown when this occurred or who was responsible. NYPD notified and a police report was filed.",Closed/No Identifiable Suspect
1-2013-002069,07/19/2013,7:10 PM,Larceny,Bobst Library,"On time and date of report, a non NYU affiliated individual states that between 7pm and 7:05 pm, her Mac laptop computer valued at $1,400 was taken from a 2nd floor location while the property was left unattended. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002087,07/22/2013,10:00 AM,Larceny,Silver Center,"On time and date of report, a staff member states that on July 19th between 3pm and 4pm, $60 (USC) was removed from his shorts while they were left in a room on the 8th floor during a fire drill. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002092,07/22/2013,1:00 PM,Larceny,Skirball Theater,"On time and date of report, Public Safety was apprised that on June 15th between 8pm and 9:30pm, a number of non NYU affiliated individuals who were performing at the theater had money taken from their wallets which were left in a dressing room. No further information available.",Closed/No Identifiable Suspects
1-2013-002094,07/22/2013,8:08 PM,Larceny,Gould Plaza,"On time and date of report, a student states that between 8:45am and 5:14pm on date of report, his bicycle valued at $180 which was chained to a rail in the plaza was taken. Declined police notification.",Closed/No Identifiable Suspects
1-2013-002095,07/22/2013,6:30 PM,Larceny,Carlyle Court,"On time and date of report, a resident states that between 9:10pm on July 20th and 1pm on date of report, two pairs of sneakers valued at $600 were taken from his room on the 3rd floor. Declined police notification.",Open/Under Investigation
1-2013-002103,07/23/2013,10:25 AM,Robbery,On Campus,"On time and date of report, a student states that at 8:35am on date of report, while taking money out of an ATM located on West 8th Street and University Place, an unidentified male placed a sharp instrument in her back and demanded money. The perpetrator then reached into her bag and took her I--phone before fleeing towards 5th Avenue. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002104,07/23/2013,2:10 PM,Larceny,244 Greene Street,"On time and date of report, Public Safety was apprised that the railing infront of the building with a value of $27,000 was taken without permission or authority. A review of surveillance video identified the theft occurring on June 15th. NYPD notified.",Open/Under Investigation
1-2013-002111,07/24/2013,6:30 PM,Harassment,726 Broadway,"On time and date of report, a faculty member states an indientified person is using her NYU email address to order harassing items being sent to her. She also claims the same person may be responsible for posting under her name derogatory blogs on the Gallatin School local publication.",Open/Under Investigation
1-2013-002114,07/24/2013,9:45 PM,Larceny,Coles Sports Center,"On time and date of report, a visitor to the location states that when he returned to the bleachers at 9:40 pm where he had left his backpack, the property was missing. A wallet containing credit cards and his I-phone valued at $600 were among the missing property. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002119,07/25/2013,2:00 PM,Larceny,Kriser Dental Center,"On time and date of report, a student states that between 10pm on July 24th and 1am on date of report, his bicycle valued at $700 was taken from the rack outside the building. NYPD was notified but complainant was unavailable when they arrived.",Open/Under Investigation
1-2013-002121,07/26/2013,8:00 AM,Larceny,Silver Center,"On time and date of report, a staff member states that between June 10th and July 17th, a laptop computer valued at $1,049 was taken from an office on the 2nd floor. NYPD notified.",Closed/No Identifiable Suspects
1-2013-002125,07/26/2013,3:25 PM,Larceny,Coles Sports Center,"On time and date of report, a non NYU affilated individual states that between 2:15pm and 3:20pm on date of report, his bicycle valued at $4,700 was taken from the exterior bike rack. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002126,07/26/2013,5:20 PM,Larceny,Washington Square Park,"On time and date of report, a student states that between 5:10pm and time/date of report, her knapsack containing an I-phone valued at $750 along with other personal items was taken while she was in the park. NYPD notified and a police report was filed.",Closed/Referred to NYPD
1-2013-002133,07/27/2013,1:00 PM,Burglary,Alumni Hall,"On time and date of report, an Aramark manager states that between June 24th and July 1st, 2 I-pads valued at $1,200 were taken from her locked office. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002134,07/27/2013,1:00 PM,Burglary,Alumni Hall,"On time and date of report, an Aramark manager states that between 5:30pm July 26th and time/date of report, an I-pad valued at $600 was taken from her locked office. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002148,07/29/2013,8:50 PM,Larceny,Coles Sports Center,"On time and date of report, an alum states that between 7:30pm and time/date of report, his I-phone valued at $500 was taken from the bleachers where he had left it unattended. Declined police notification.",Open/Under Investigation
1-2013-002156,07/30/2013,2:50 PM,Larceny (reclassified as missing property/found),19 University Place,"On time and date of report, a staff member states that between 5pm July 29th and 2pm on date of report, a keyboard and mouse to a Mac computer with a total value of $100 were taken from his office. Declined police notification at this time. NOTE: Complainant notified Public Safety to indicate property was borrowed by a colleague and returned.",Closed/Unfounded
1-2013-002161,07/31/2013,11:40 AM,Larceny,Kriser Dental Center,"On time and date of report, a student states that between 8:30am and 11:15am on date of report, her bag containing credit cards, personal identification and other personal items was taken from her locker. Declined police notification.",Open/Under Investigation
1-2013-001631,06/01/2013,4:50 AM,Harassment/Dating Violence,Third Avenue North Residence,"On time and date of report, Public Safety was apprised that a short time earlier that morning, a guest of a student physically harassed him and damaged personal property in his room. NYPD notified.",Open/Under Investigation
1-2013-001653,06/04/2013,12:00 PM,Larceny,726 Broadway,"On time and date of report, Public Safety assisted an administrator in retrieving property from an employees locker that he was unauthorized to have. Employee suspended pending further investigation.",Open/Under Investigation
1-2013-001663,06/04/2013,10:40 PM,Controlled Substance,Coral Towers,"On time and date of report, Public Safety assisted residence life staff with the confiscation of marijuana from a student's room.",Closed/Referred to University Judicial
1-2013-001666,06/05/2013,12:05 PM,Larceny,25 West 4th Street,"On time and date of report, a student states that between 8:55am and time/date of report, his secured bicycle valued at $600 was taken from a bike rack on the sidewalk infront of the building. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-001667,06/05/2013,1:19 PM,Larceny,Provincetown Playhouse,"On time and date of report, a student states that between 12pm and 1:10pm on date of report, 2 credit cards were removed from her purse while the property was left unattended in a dressing room. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-001669,06/05/2013,7:45 PM,Assault,On Campus,"On time and date of report, an alum states being kicked in the shoulder by an unidentified male while walking on Washinton Square South and La Guardia place. Public Safety responded to the location and identified the individual. NYPD responded and placed him under custody.",Closed/Arrest Involved
1-2013-001671,06/05/2013,4:25 PM,Larceny,On Campus,"On time and date of report, a faculty member states that between 4pm and time/date of report, his bicycle valued at $1,100 was taken from a tree infront of Kimmel Center where he had secured the property to. Declined police notification at this time.",Open/Under Investigation
1-2013-001675,06/06/2013,9:00 AM,Larceny,Institute for the Study of Anicient Worlds,"On time and date of report, Public Safety was apprised that between May 28th and June 3rd, several corporate and personal credit cards were compromised resulting an a number of puchases. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-001691,06/07/2013,5:00 PM,Sexual Offense,Kimball Hall,"On time and date of report, Public Safety was apprised that an employee was allegedly touched inappropriately in an office by another employee. Matter is currently under investigation by appropriate university officials.",Open/Under Investigation
1-2013-001694,06/08/2013,12:10 AM,Controlled Substance,Broome Street Residence,"On time and date of report, Public Safety assisted housing staff with the confiscation of marijuana and drug paraphernalia from a summer housing resident's room.",Closed/Referred to Appropriate Department
1-2013-001703,06/08/2013,9:12 PM,Larceny,Coles Sports Center,"On time and date of report, a non NYU affiliated individual states that between 5pm and 7:20pm on date of report, his secured bicycle valued at $525 was taken from the rack outside the building. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-001721,06/11/2013,10:50 AM,Larceny,Henry Kaufman Management Center,"On time and date of report, an administrator states that between June 7th and 9am on date of report, a backpack containing a laptop computer was taken from an office on the 1st floor. Property was removed from a locker and belonged to a student. Declined police notification at this time.",Open/Under Investigation
1-2013-001736,06/12/2013,4:00 PM,Harassment,On Campus,"On time and date of report, a staff member states that a short time before making this report, she was verbally threatened by an unidentified individual on the sidewalk while she was standing in front of 285 Mercer Street. Public Safety responded but individual was gone on arrival. Declined police notification.",Closed/No Further Action
1-2013-001738,06/12/2013,8:18 PM,Larceny,726 Broadway/NYU Bookstore,"On time and date of report, a student, an individual, later identified as a student, was observed concealing three text books valued at $160, and attempted to leave the premises without paying. Student detained and property was recovered.",Closed/Referred to University Judicial
1-2013-001743,06/13/2013,10:45 AM,Criminal Mischief,Bobst Library,"On time and date of report, a Public Safety officer states that at 1pm on June 12th, he discovered that the lens on a security camera in the loading dock area had been sprayed with an unknown substance, blocking the camera view.",Open/Under Investigation
1-2013-001753,06/14/2013,1:00 PM,Larceny,15 Washington Place,"On time and date of report, an NYU staff member states that between 12pm June 5th and 1pm June 6th, his Mac laptop valued at $1400 and another Mac laptop of unknown value were stolen from a vacated, unlocked apartment during a move to another apartment in the same building. Declined police notification at this time.",Open/Under Investigation
1-2013-001764,06/16/2013,9:00 AM,Harassment,Silver Center,"On time and date of report, a staff member states receiving three harassing phone calls from the same unidentified male between the hours of 7:30am and time/date of report. Declined police notification.",Closed/No Further Action
1-2013-001769,06/16/2013,5:30 PM,Larceny,Lafayette Street Residence,"On time and date of report, a student states that between 6pm June 12th and time/date of report, an envelope containing $350 was stolen from a dresser drawer in her unlocked room. Declined police notification at this time. NOTE: Complainant notified Public Safety at 6:30pm June 17th that her roommate returned the envelope containing the cash.",Closed/Property Recovered
1-2013-001774,06/17/2013,11:30 AM,Larceny,Palladium Hall,"On time and date of report, an NYU staff member states that between 12:20pm and 1:20pm June 16th his bicycle valued at $125, locked to a pole in front of the 13th St entrance, was stolen. Declined police notification at this time.",Open/Under Investigation
1-2013-001778,06/17/2013,07:20 PM,Controlled Substance,Gramercy Green,"On time and date of report, Public Safety assisted residence life in the confiscation of drug paraphernalia from a student's room.",Closed/Referred to University Judicial
1-2013-001787,06/18/2013,10:36 AM,Sexual Offense,University Hall,"On time and date of report, Public Safety was apprised of an incident where a summer resident states that between 4:40am and 7:30am June 16th, she was assaulted sexually in her room by a male guest known to her. Complainant declined police notification.",Open/Under Investigation
1-2013-001790,06/18/2013,4:10 PM,Larceny,14 University Place,"On time and date of report, a faculty member states that between 5pm June 11th and 5pm June 14th, approximately $15 of US coins were stolen from a file cabinet located in the hallway outside of her office on the 1st floor. Declined police notification.",Open/Under Investigation
1-2013-001807,06/20/2013,12:47 PM,Harassment,Vanderbilt Hall,"On time and date of report, a law professor states that at 7:40am on date of report she was informed by one of her law students of a menacing phone call he received from a former law student who has a history of placing harassing calls to both the current student and the professor. Declined police notification at this time.",Open/Under Investigation
1-2013-001808,06/20/2013,12:50 PM,Larceny,Bobst Library,"On time and date of report, a library patron states that between 6pm and 6:05pm on June 18th, her Prada wallet valued at $600, containing her drivers license, credit cards and $150, was stolen from her purse which was left unattended on a desk in the 7th floor computer lab. She discovered later that between the time/date of occurence and time/date of report that $170 of unauthorized charges were placed on her credit cards. Declined police notification.",Open/Under Investigation
1-2013-001819,06/20/2013,8:44 PM,Larceny,Bobst Library,"On time and date of report, a student states that between 8:30pm and 8:40pm on date of report his iPhone valued at $200 was stolen while left unattended on the 5th floor. Declined police notification at this time.",Open/Under Investigation
1-2013-001829,06/22/2013,1:20 AM,Larceny,Off Campus,"On time and date of report, a student states that at 1:15am on date of report while standing infront of 114 3rd Avenue, an unidentified male grabbed her I-phone valued at $500 from her hand and fled south on 3rd Avenue. NYPD notified and canvassed the area with the complainant without success.",Closed/Referred to NYPD
1-2013-001833,06/22/2013,12:55 PM,Larceny,Kimmel Center for University Life,"On time and date of report, a visitor states that between 9am and time/date of report, her cell phone valued at $200 was taken from her handbag while the property was left in a room on the 4th floor. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-001857,06/25/2013,3:20 PM,Larceny,Kriser Dental Center,"On time and date of report, a student states that between 9am and 3:15pm on date of report, his bicycle valued at $350 was taken from the rack on the 25th street side of the building. Declined police notification.",Open/Under Investigation
1-2013-001862,6/26/2013,5:00 PM,Harrasment,18 Washington Place,"On time and date of report, a faculty member informed Public Safety that he has received threatening emails from a former faculty member. Individual had been issued a persona non grata from campus.",Open/Under Investigation
1-2013-001864,06/26/2013,11:30 AM,Larceny,Duke House,"On time and date of report, a staff member states that between 11:30am June 5th and June 25th at 4:30pm, two Mac laptop computers with a total value of $2,700 were taken from a locked closet in the basement. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-001865,06/26/2013,3:10 PM,Harassment,On Campus,"On time and date of report, a student states that since June 4th, the food vendor at the corner of Mercer Street and Washington Place has been making inappropriate comments to her as she walks by. Student declined police notification.",Closed/Referred to Appropriate Department
1-2013-001876,06/27/2013,11:20 PM,Harassment,On Campus,"On time and date of report, a summer assistant (SA) states that between 11:15pm and 11:17pm on date of report an unidentified male shouted an anti-gay slur at him while walking on the sidewalk in front of Weinstein Hall. Declined police notificaiton.",Closed/No Further Action
1-2013-001878,06/28/2013,9:15 AM,Larceny,Kriser Dental Center,"On time and date of report, a staff member states that between 3pm June 27th and 7am on date of report a gift bag containing cookies and other miscellaneous items was stolen from underneath the receptionist desk in the lobby. Declined police notification.",Closed/No Suspects or Witnesses
1-2013-001880,06/28/2013,11:10 AM,Larceny,Kriser Dental Center,"On time and date of report, a dental student states that between 7:40pm June 27th and 9pm on date of report, two credit cards were stolen from a purse located in a locked desk drawer in her office on the 8th floor. NYPD notified and a police report was filed.",Open/Under Investigatin
1-2013-001883,06/28/2013,3:35 PM,Larceny,Starbucks on the Square,"On time and date of report, a patron states that between 3:15pm and 3:20pm on date of report his iPhone of unknown value was stolen from a window sill next to the table where he was sitting while the property was left unattended. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-001276,05/01/2013,10:50 AM,Harassment,726 Broadway,"On time and date of report, a student states that as she was entering the building from the street, an unidentified male approached her from behind and lifted her skirt. The individual then fled in an unkown direction. Declined police notification.",Closed/No Identifiable Suspect
1-2013-001280,05/01/2013,3:30 PM,Criminal Mischief,Woolworth Building,"On time and date of report, Public Safety was apprised of graffiti in the 2nd floor men's bathroom. NYPD notified and deemed the graffiti non bias. It is unknown when this occurred or who was responsible.",Closed/No Identifieable Suspect
1-2013-001283,05/01/2013,6:25 PM,Harassment,Washington Square Park,"On time and date of report, a student states that another student known to her approached her at 6:15 PM on date of report while standing with friends and verbally harassed her. NYPD notified and a police report was filed.",Closed/Referred to NYPD
1-2013-001289,05/02/2013,5:30 AM,Harassment/Trespass,NYU Berlin,"On time and date of report, Public Safety was apprised of a non NYU affiliated woman entering the academic center at 11:25am on May 1st and was verbally harassing to the students and staff. The individual also made racial comments towards some of the students. Local police were notified and arrested the individual.",Closed/Arrest Involved
1-2013-001296,05/02/2013,1:40 PM,Larceny,Lafayette Street Residence,"On time and date of report, a student states that between 2am April 28th and time/date of report, her camera valued at $1,100 was taken from her room. Complainant left the location before NYPD arrrived to take a report.",Open/Under Investigation
1-2013-001303,05/02/2013,9:43 PM,Larceny,Coles Sports Center,"On time and date of report, a faculty member states that between 1:30pm and 9:39pm on date of report, his bicycle valued at $200 was taken from the rack in front of the building. Declined police notification.",Open/Under Investigation
1-2013-001315,05/03/2013,9:40 AM,Larceny,Bobst Library,"On time and date of report, a student states that between 9:35am and time/date of report, his Mac laptop computer valued at $1,900 was taken from a 6th floor location while the property was left unattended. NYPd notified and a police report was filed.",Open/Under Investigation
1-2013-001318,05/03/2013,9:48 PM,Larceny,1 Washington Square North,"On time and date of report, Public Safety was apprised that a computer was discovered missing from the student lounge on April 10th. NYPD notified and a police report was filed.",Closed/No Identifiable Suspect
1-2013-001319,05/03/2013,8:10 PM,Burglary,Silver Center,"On time and date of report, Public Safety was apprised that a staff member entered her office on the 6th floor and observed an unidentified male who quickly left the area. A locked file cabinet was found unlocked, and a lock pick kit was observed on the desk. Further investigation identified a person known to this department as being the individual observed.",Closed/Referred to Appropriate Department
1-2013-001331,05/04/2013,8:15 PM,Larceny,Pless Hall,"On time and date of report, a student states that between 11:30am and 6:30pm on May 3rd, his Sony digital camera valued at $599 was taken from an unlocked dressing room on the 1st floor. Declined police notification.",Open/Under Investigation
1-2013-001345,05/06/2013,7:45 AM,Larceny,Palladium Hall,"On time and date of report, a student states that between 6pm and 7pm on May 5th, her purse containing cash, credit cards, personal identification and a pair of sunglasses was taken from the dining hall while the property was left unattended. Dewclined police notification at this time.",Open/Under Investigation
1-2013-001349,05/06/2013,12:45 PM,Harassment,Broome Street Residence,"On time and date of report, a student states receiving messages by text and social media from an individual she had met recently which she indicates are making her uncomfortable. Declined police notification.",Open/Under Investigation
1-2013-001354,05/06/2013,2:13 PM,Larceny,Coles Sports Center,"On time and date of report, a student states that between 2:05pm and 2:10pm on date of report, his Mac laptop computer valued at $2,000 was taken from his unlocked locker. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-001355,05/06/2013,2:20 PM,Public Lewdness,Bobst Library,"On time and date of report, a student states she observed an unidentified male engaged in lewd conduct on the LL2 level a few minutes prior to making the report. Person could not identified upon Public Safety response. Declined police notification.",Closed/No Identifiable Suspect
1-2013-001356,05/06/2013,4:10 PM,Larceny,Education Building,"On time and date of report, a student states that between 11am and 4pm on date of report, his bicycle of undetermined value was removed from a pole on the sidewalk outside the building. Declined police notification at this time.",Closed/No Identifiable Suspect
1-2013-001359,05/06/2013,7:30 PM,Larceny,Vanderbilt Hall,"On time and date of report, a student states that between May 3rd and date of report, an NYU canvas bag valued at $15 was taken from a 2nd floor public location while it was left unattended. NYPD notified and a police report was filed.",Closed/No Identifiable Suspect
1-2013-001365,05/07/2013,11:35 AM,Larceny,Washington Square Park,"On time and date of report, a studnet states that an unidentified male stole her purse and took $124 (USC) currency from it. Public Safety responded and the male admitted to the theft but refused to return the money. NYPD notified and responded. Student was able to recover her money but declined to press charges.",Closed/Property Recovered
1-2013-001372,05/07/2013,6:45 PM,Larceny,Hayden Hall,"On time and date of report, a faculty member states that between 6:30pm and time/date of report, his bicycle valued at $500 was taken while secured to a tree on the street in front of the building. Declined police notification at this time.",Open/Under Investigation
1-2013-001386,05/08/2013,12:30 PM,Larceny,Coles Sports Center,"On time and date of report, a student states that between 11am and time/date of report, his pants and I-pod valued at $150 which were left unsecured in the men's locker room. Declined police notification.",Closed/No Identifiable Suspect
1-2013-001393,05/09/2013,5:50 AM,Larceny,Bobst Library,"On time and date of report, a student states that between 5am and time/date of report, a New School studnt states that between 5am and time/date of report, while sleeping on the LL-1 level, her Mac laptop valued at $2,500 was taken. NYPD notified and a polcie report was filed.",Open/Under Investigation
1-2013-001395,05/09/2013,9:30 AM,Larceny (Reclassified as missing property/recovered),Bobst Library,"On time and date of report, a student states that on May 8th at approximately 9am, she left her wallet containing cash, credit cards and personal identification in the 6th floor ladies bathroom. When she realized she did not have the wallet at 4pm, she returned to the location and the property could not be located. Declined police notification. NOTE: Complainant reported to Public Safety that she found her property/all was intact.",Closed/Property Found
1-2013-001397,05/09/2013,12:50 PM,Larceny,Schwartz Plaza,"On time and date of report, the husband of a faculty member states that between May 3rd and date of report, his bicycle valued at $750 was taken from the bike rack at this location. Declined police notification.",Open/Under Investigation
1-2013-001399,05/09/2013,1:00 PM,Larceny,726 Broadway/NYU Bookstore,"On time and date of report, a non NYU affiliated individual was observed concealing property valued at $43.25 and attempted to leave the store without paying. Individual was detained, and arrested by the NYPD.",Closed/Arrest Involved
1-2013-001400,05/09/2013,12:55 PM,Larceny,Rubin Residence Hall,"On time and date of report, a student states that between 7am and 11am on date of report, his laptop computer valued at $3,000 was taken from the 2nd floor lounge while it was left unattended. NYPD notified.",Open/Under Investigation
1-2013-001402,05/09/2013,4:20 PM,Larceny,Bobst Library,"On time and date of report, a student states that between 4:15pm and 4:18pm on date of report, his Mac laptop computer valued in excess of $1,000 was taken from a 6th floor location while it was left unattended. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-001420,05/10/2013,2:45 PM,Larceny,Bobst Library,"On time and date of report, a student states that between 2:30pm and 2:35pm on date of report, her Mac laptop computer valued at $1,160 was taken from a 4th floor location while the property was left unattended. Declined police notification at this time.",Closed/No Identifiable Suspect
1-2013-001422,05/10/2013,3:00 PM,Harassment,Fairchild Building,"On time and date of report, a staff member states receiving numerous harassing phone calls from a person known to this department over a period beginning on January 12, 2013.",Open/Under Investigation
1-2013-001423,05/10/2013,4:20 PM,Larceny,East Building,"On time and date of report, a staff member states that between 1:30 pm May 9th and time/date of report, a digitial video camera valued at $650 was taken from an office on the 4th floor. NYPd notified and a polcie report was filed.",Open/Under Investigation
1-2013-001424,05/10/2013,6:30 PM,Criminal Mischief,Alumni Hall,"On time and date of report, a staff person indicated observing an unidentifed male at 6pm on date of report in the process of writing graffiti on an exterior location of the building. The person fled when confronted. Graffiti removed by maintenance staff.",Closed/No Further Action
1-2013-001426,05/11/2013,9:20 AM,Burglary,Third Avenue North Residence,"On the above time and date, a student states that between 3am and 9:18am on date of report, property valued at $138 (USC) was taken from his unlocked room while he was sleeping. NYPD notified and a police report was filed",Open/Under Investigation
1-2013-001427,05/11/2013,8:45 AM,Burglary,Third Avenue North Residence,"On time and date of report, a student states that between 7am and 8am on date of report, her I-phone valued at $500 was taken from her unlocked room. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-001428,05/11/2013,9:30 AM,Burglary,Third Avenue North Residence,"On time and date of report, a student states that between 2:15am and 9:15am on date of report, property valued at $400 was taken from his unlocked room. Student futher stated he had been awoken by an unidentified male at 5am in his room and gave chase but the individual eluded him on the 14th floor. Student did not make a report at that time to either Public Safety or the R.A. until he discovered his property missing at 9:30am. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-001429,05/11/2013,10:50 AM,Burglary,Third Avenue North Residence,"On time and date of report, a student states that between 2am and 10am on date of report, his I-phone valued at $400 was taken from his unlocked room. Student further states he was awoken by two unidentified individuals exiting his room at 8am but did not make a report to Public Safety or the R.A. until he discovered his property missing at 10am. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-001430,05/11/2013,11:15 AM,Burglary,Third Avenue North Residence,"On time and date of report, a student states that between 6am and 10am on date of report, his Blackberry smart phone valued at $400 was taken from his unlocked room. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-001431,05/11/2013,12:45 AM,Burglary/Attempted),Third Avenue North Residence,"On time and date of report, a student states that at approximately 8:30am, she was awoken by an individual in her room. When confronted, the individual stated he was a resident looking for a bathroom. He quickly left the room. Individual matched the description given by other students from previous incidents earlier in the morning. Individual had entered through an unlocked door.",Open/Under Investigation
1-2013-001433,05/11/2013,6:00 PM,Burglary,Third Avenue North Residence,"On time and date of report, a student states that between 7pm May 10th and 6pm May 11th, a cherger for Apple products valued at $79 was taken from her room. Declined police notification.",Open/Under Investigation
1-2013-001441,05/13/2013,12:46 AM,Harassment,Off Campus,"On the above time and date, a student states that while walking back to Palladium Hall, an unidentified male was following her and repeatedly asked her for her telephone number. When she kept refusing, he began verbally harassing her. Public Safety checked the street but the individual had left the area. Declined police notification.",Closed/No Identifiable Suspect
1-2013-001446,05/13/2013,10:40 AM,Larceny,15 Washington Place,"On time and date of report, the super of the building reports that between May 12th and date of report, a floor lamp of undetermined value was taken from the lobby.",Closed/No Identifiable Suspect
1-2013-001449,05/13/2013,4:41 PM,Larceny,Silver Center,"On time and date of report, a staff member states he left his perscribed medication in his locked locker on Friday May 10th. Upon his return on the time/date of report, the medication was missing. There was no visible tampering of the locker. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-001452,05/13/2013,4:15 PM,Robbery,On Campus,"On time and date of report, a student states that at 2:25am on May 8th, three unidentified males robbed him of a briefcase containing a Mac laptop computer on the corner of Washington Square South and MacDougall Street. Student filed a police report at the time of the incident.",Closed/Referred to NYPD
1-2013-001455,05/13/2013,9:20 PM,Larceny,721 Broadway/Waverly Street bike rack,"On time and date of report, a student states that between 5:20pm and 9:15pm on date of report, his bicycle valued at $400 was taken from the location.",Open/Under Investigation
